file,window,cadence_reb,config,strat_roi,spy_roi,XLK_roi,vs_XLK,QQQ_roi,vs_QQQ,SMH_roi,vs_SMH,EWU_roi,vs_EWU,INIT_roi,vs_INIT,rand_pctile,rand_median_roi
psperm_0653_tech_gpt-51_4x_20-5_202501_20260706_142116_382366_w0.json,2025-01-01,3,20-5,34.57,18.009010098303847,24.901377006298485,9.668622993701515,21.009251512367833,13.560748487632168,47.57571441237847,-13.005714412378467,41.054844013773284,-6.484844013773284,18.275434823138383,16.294565176861617,42.199999999999996,38.92514333352527
psperm_0654_tech_gpt-51_4x_10-5_202501_20260706_170317_089041_w0.json,2025-01-01,3,10-5,31.86,18.008989567842427,24.901377006298485,6.958622993701514,21.009251512367833,10.850748487632167,47.57571441237847,-15.715714412378468,41.054844013773284,-9.194844013773285,51.80611198454207,-19.94611198454207,38.7,38.92514333352527
psperm_0659_tech_gpt-51_6x_20-10_202501_20260707_115645_507124_w0.json,2025-01-01,5,20-10,33.08,18.009010098303847,24.901377006298485,8.178622993701513,21.009251512367833,12.070748487632166,47.57571441237847,-14.495714412378469,41.054844013773284,-7.974844013773286,44.41700068228235,-11.337000682282351,32.7,39.598040482717366
psperm_0660_tech_gpt-51_6x_20-5_202501_20260707_111946_031301_w1.json,2025-01-01,5,20-5,28.65,18.009010098303847,24.901377006298485,3.748622993701513,21.009251512367833,7.640748487632166,47.57571441237847,-18.92571441237847,41.054844013773284,-12.404844013773285,51.873888261991965,-23.223888261991966,33.7,38.92514333352527
psperm_0661_tech_gpt-51_6x_10-5_202501_20260707_112012_549041_w0.json,2025-01-01,5,10-5,31.24,18.009030628772415,24.901377006298485,6.338622993701513,21.009251512367833,10.230748487632166,47.57571441237847,-16.33571441237847,41.054844013773284,-9.814844013773286,52.95047337179403,-21.710473371794034,37.7,38.92514333352527
psperm_0666_tech_gpt-51_12x_20-10_202501_20260707_160109_432539_w0.json,2025-01-01,11,20-10,37.4,18.009010098303847,24.901377006298485,12.498622993701513,21.009251512367833,16.390748487632166,47.57571441237847,-10.175714412378468,41.054844013773284,-3.6548440137732854,41.68802563487546,-4.28802563487546,44.0,39.598040482717366
psperm_0729_tech_gpt-51_2x_20-10_202502_20260706_144300_648699_w0.json,2025-02-01,1,20-10,56.97,17.11792204504068,27.164088184848744,29.805911815151255,20.63535843410098,36.33464156589902,69.49300150735777,-12.523001507357776,49.611236385816525,7.358763614183474,63.940404847569795,-6.970404847569796,64.2,47.85023505790308
psperm_0730_tech_gpt-51_2x_20-5_202502_20260706_163917_942804_w0.json,2025-02-01,1,20-5,35.14,17.11794197293386,27.164088184848744,7.975911815151257,20.63535843410098,14.504641565899021,69.49300150735777,-34.353001507357774,49.611236385816525,-14.471236385816525,89.0766174636982,-53.9366174636982,36.0,45.120543552537725
psperm_0731_tech_gpt-51_2x_10-5_202502_20260706_170522_612873_w0.json,2025-02-01,1,10-5,31.19,17.11794197293386,27.164088184848744,4.025911815151257,20.63535843410098,10.554641565899022,69.49300150735777,-38.30300150735778,49.611236385816525,-18.421236385816524,39.39024984544136,-8.200249845441359,29.5,45.120543552537725
psperm_0736_tech_gpt-51_4x_20-10_202502_20260706_125222_333883_w0.json,2025-02-01,3,20-10,38.58,17.11792204504068,27.164088184848744,11.415911815151254,20.63535843410098,17.94464156589902,69.49300150735777,-30.913001507357777,49.611236385816525,-11.031236385816527,74.89444312271857,-36.31444312271857,34.1,47.85023505790308
