file,window,run,arm,roi,tokens,n_holdings
arm_gpt-51_20to10_202501_run2.json,202501,2,A5_single_matched,39.355695659518766,,
arm_gpt-51_20to10_202501_run2.json,202501,2,A6_hold_all,32.20303830807729,,
arm_gpt-51_20to10_202501_run3.json,202501,3,A1_single_pool,42.03277696571924,,
arm_gpt-51_20to10_202501_run3.json,202501,3,A2_sequential_cut,43.313814961316474,,
arm_gpt-51_20to10_202501_run3.json,202501,3,A3_sequential_nocut,46.411106395731494,,
arm_gpt-51_20to10_202501_run3.json,202501,3,A4_reports_scrambled,32.744433374256275,,
arm_gpt-51_20to10_202501_run3.json,202501,3,A5_single_matched,42.49830317689706,,
arm_gpt-51_20to10_202501_run3.json,202501,3,A6_hold_all,45.99032114611457,,
arm_gpt-51_20to10_202502.json,202502,0,A1_single_pool,56.82268127628562,,
arm_gpt-51_20to10_202502.json,202502,0,A2_sequential_cut,48.13210286275931,,
arm_gpt-51_20to10_202502.json,202502,0,A3_sequential_nocut,54.7152641934364,,
arm_gpt-51_20to10_202502.json,202502,0,A4_reports_scrambled,22.92198299429487,,
arm_gpt-51_20to10_202502.json,202502,0,A5_single_matched,45.129650998767154,,
arm_gpt-51_20to10_202502.json,202502,0,A6_hold_all,42.88929139126203,,
arm_gpt-51_20to10_202502_run1.json,202502,1,A1_single_pool,47.2771351194966,,
arm_gpt-51_20to10_202502_run1.json,202502,1,A2_sequential_cut,50.22125625979399,,
arm_gpt-51_20to10_202502_run1.json,202502,1,A3_sequential_nocut,52.80480502621755,,
arm_gpt-51_20to10_202502_run1.json,202502,1,A4_reports_scrambled,30.012971118280383,,
arm_gpt-51_20to10_202502_run1.json,202502,1,A5_single_matched,44.47655925069877,,
arm_gpt-51_20to10_202502_run1.json,202502,1,A6_hold_all,41.095502271135935,,
arm_gpt-51_20to10_202502_run2.json,202502,2,A1_single_pool,54.225641542148914,,
arm_gpt-51_20to10_202502_run2.json,202502,2,A2_sequential_cut,51.71158143219774,,
arm_gpt-51_20to10_202502_run2.json,202502,2,A3_sequential_nocut,56.704231493634616,,
arm_gpt-51_20to10_202502_run2.json,202502,2,A4_reports_scrambled,47.13068332480886,,
arm_gpt-51_20to10_202502_run2.json,202502,2,A5_single_matched,48.819897942867826,,
arm_gpt-51_20to10_202502_run2.json,202502,2,A6_hold_all,56.69390654430209,,
arm_gpt-51_20to10_202502_run3.json,202502,3,A1_single_pool,48.856690165633296,,
arm_gpt-51_20to10_202502_run3.json,202502,3,A2_sequential_cut,54.30817523530265,,
arm_gpt-51_20to10_202502_run3.json,202502,3,A3_sequential_nocut,56.32457195622388,,
arm_gpt-51_20to10_202502_run3.json,202502,3,A4_reports_scrambled,56.04589853816627,,
arm_gpt-51_20to10_202502_run3.json,202502,3,A5_single_matched,52.59007658726734,,
arm_gpt-51_20to10_202502_run3.json,202502,3,A6_hold_all,48.89710534890366,,
arm_gpt-51_20to10_202503.json,202503,0,A1_single_pool,48.919657150943,,
arm_gpt-51_20to10_202503.json,202503,0,A2_sequential_cut,54.89255665752572,,
arm_gpt-51_20to10_202503.json,202503,0,A3_sequential_nocut,64.15865650773344,,
arm_gpt-51_20to10_202503.json,202503,0,A4_reports_scrambled,53.64596153267599,,
arm_gpt-51_20to10_202503.json,202503,0,A5_single_matched,52.39349384219935,,
arm_gpt-51_20to10_202503.json,202503,0,A6_hold_all,40.09045870380332,,
arm_gpt-51_20to10_202503_run1.json,202503,1,A1_single_pool,77.1298119996562,,
arm_gpt-51_20to10_202503_run1.json,202503,1,A2_sequential_cut,92.49244515989659,,
arm_gpt-51_20to10_202503_run1.json,202503,1,A3_sequential_nocut,88.1340134417847,,
arm_gpt-51_20to10_202503_run1.json,202503,1,A4_reports_scrambled,70.29521474008948,,
arm_gpt-51_20to10_202503_run1.json,202503,1,A5_single_matched,70.29497997824757,,
arm_gpt-51_20to10_202503_run1.json,202503,1,A6_hold_all,73.27303613791744,,
arm_gpt-51_20to10_202503_run2.json,202503,2,A1_single_pool,54.068514706770145,,
arm_gpt-51_20to10_202503_run2.json,202503,2,A2_sequential_cut,47.9263289501592,,
arm_gpt-51_20to10_202503_run2.json,202503,2,A3_sequential_nocut,48.15371409565945,,
arm_gpt-51_20to10_202503_run2.json,202503,2,A4_reports_scrambled,19.217477826842533,,
arm_gpt-51_20to10_202503_run2.json,202503,2,A5_single_matched,48.65422895166584,,
arm_gpt-51_20to10_202503_run2.json,202503,2,A6_hold_all,42.46616172830544,,
arm_gpt-51_20to10_202503_run3.json,202503,3,A1_single_pool,69.62537033715002,,
arm_gpt-51_20to10_202503_run3.json,202503,3,A2_sequential_cut,69.72256626901205,,
arm_gpt-51_20to10_202503_run3.json,202503,3,A3_sequential_nocut,70.05704607154884,,
arm_gpt-51_20to10_202503_run3.json,202503,3,A4_reports_scrambled,70.85641030606821,,
arm_gpt-51_20to10_202503_run3.json,202503,3,A5_single_matched,65.78368998669397,,
arm_gpt-51_20to10_202503_run3.json,202503,3,A6_hold_all,64.57360232908962,,
arm_gpt-51_20to10_202504.json,202504,0,A1_single_prompt,55.650121100266006,,
arm_gpt-51_20to10_202504.json,202504,0,A2_sequential_cut,89.06321365539462,,
arm_gpt-51_20to10_202504.json,202504,0,A3_sequential_nocut,62.6043808377704,,
arm_gpt-51_20to10_202504.json,202504,0,A4_reports_scrambled,47.742261795199866,,
arm_gpt-51_20to10_202504_run1.json,202504,1,A1_single_pool,48.63767522102913,,
arm_gpt-51_20to10_202504_run1.json,202504,1,A2_sequential_cut,50.801799018275105,,
arm_gpt-51_20to10_202504_run1.json,202504,1,A3_sequential_nocut,47.59018288295245,,
arm_gpt-51_20to10_202504_run1.json,202504,1,A4_reports_scrambled,53.32007929890098,,
arm_gpt-51_20to10_202504_run1.json,202504,1,A5_single_matched,47.477484019367786,,
arm_gpt-51_20to10_202504_run1.json,202504,1,A6_hold_all,40.45850685848833,,
arm_gpt-51_20to10_202504_run2.json,202504,2,A1_single_pool,55.712670323677884,,
arm_gpt-51_20to10_202504_run2.json,202504,2,A2_sequential_cut,51.22944248781972,,
arm_gpt-51_20to10_202504_run2.json,202504,2,A3_sequential_nocut,54.42095647195296,,
arm_gpt-51_20to10_202504_run2.json,202504,2,A4_reports_scrambled,37.484472883691744,,
arm_gpt-51_20to10_202504_run2.json,202504,2,A5_single_matched,50.0658235267915,,
arm_gpt-51_20to10_202504_run2.json,202504,2,A6_hold_all,52.60453885420012,,
arm_gpt-51_20to10_202504_run3.json,202504,3,A1_single_pool,58.78634547161595,,
arm_gpt-51_20to10_202504_run3.json,202504,3,A2_sequential_cut,67.15388258705265,,
arm_gpt-51_20to10_202504_run3.json,202504,3,A3_sequential_nocut,64.02213918666537,,
arm_gpt-51_20to10_202504_run3.json,202504,3,A4_reports_scrambled,85.17771321101871,,
arm_gpt-51_20to10_202504_run3.json,202504,3,A5_single_matched,62.72819865758478,,
arm_gpt-51_20to10_202504_run3.json,202504,3,A6_hold_all,67.21541945785764,,
arm_gpt-51_20to10_202505.json,202505,0,A1_single_prompt,100.94460509244152,,
arm_gpt-51_20to10_202505.json,202505,0,A2_sequential_cut,102.6228924856498,,
arm_gpt-51_20to10_202505.json,202505,0,A3_sequential_nocut,102.31416737599153,,
arm_gpt-51_20to10_202505.json,202505,0,A4_reports_scrambled,76.46697553194052,,
arm_gpt-51_20to10_202505_run1.json,202505,1,A1_single_pool,100.78979730399847,,
arm_gpt-51_20to10_202505_run1.json,202505,1,A2_sequential_cut,96.55956820610339,,
arm_gpt-51_20to10_202505_run1.json,202505,1,A3_sequential_nocut,91.81892838256863,,
arm_gpt-51_20to10_202505_run1.json,202505,1,A4_reports_scrambled,42.96262383698795,,
arm_gpt-51_20to10_202505_run1.json,202505,1,A5_single_matched,91.54470759921894,,
arm_gpt-51_20to10_202505_run1.json,202505,1,A6_hold_all,83.92976379303092,,
arm_gpt-51_20to10_202505_run2.json,202505,2,A1_single_pool,86.22821735301822,,
arm_gpt-51_20to10_202505_run2.json,202505,2,A2_sequential_cut,103.44526829125333,,
arm_gpt-51_20to10_202505_run2.json,202505,2,A3_sequential_nocut,89.90817617628832,,
arm_gpt-51_20to10_202505_run2.json,202505,2,A4_reports_scrambled,99.48992735571144,,
arm_gpt-51_20to10_202505_run2.json,202505,2,A5_single_matched,72.11754764219066,,
arm_gpt-51_20to10_202505_run2.json,202505,2,A6_hold_all,107.8687932179212,,
arm_gpt-51_20to10_202505_run3.json,202505,3,A1_single_pool,62.668024732120955,,
arm_gpt-51_20to10_202505_run3.json,202505,3,A2_sequential_cut,67.71401514437366,,
arm_gpt-51_20to10_202505_run3.json,202505,3,A3_sequential_nocut,57.16383204164677,,
arm_gpt-51_20to10_202505_run3.json,202505,3,A4_reports_scrambled,73.86078976710593,,
arm_gpt-51_20to10_202505_run3.json,202505,3,A5_single_matched,83.54418557715177,,
arm_gpt-51_20to10_202505_run3.json,202505,3,A6_hold_all,98.27144860658805,,
arm_gpt-51_20to10_202506.json,202506,0,A1_single_prompt,-8.887865708646531,,
arm_gpt-51_20to10_202506.json,202506,0,A2_sequential_cut,24.766849498739578,,
arm_gpt-51_20to10_202506.json,202506,0,A3_sequential_nocut,18.866290561850636,,
arm_gpt-51_20to10_202506.json,202506,0,A4_reports_scrambled,-3.317632516839767,,
arm_gpt-51_20to10_202506_run1.json,202506,1,A1_single_pool,85.5839375535398,,
arm_gpt-51_20to10_202506_run1.json,202506,1,A2_sequential_cut,54.13368906979896,,
arm_gpt-51_20to10_202506_run1.json,202506,1,A3_sequential_nocut,52.11393387323433,,
arm_gpt-51_20to10_202506_run1.json,202506,1,A4_reports_scrambled,120.64915504476426,,
arm_gpt-51_20to10_202506_run1.json,202506,1,A5_single_matched,85.58394541202317,,
arm_gpt-51_20to10_202506_run1.json,202506,1,A6_hold_all,75.89100594531763,,
arm_gpt-51_20to10_202506_run2.json,202506,2,A1_single_pool,-43.577613436542116,,
arm_gpt-51_20to10_202506_run2.json,202506,2,A2_sequential_cut,20.453743426092714,,
arm_gpt-51_20to10_202506_run2.json,202506,2,A3_sequential_nocut,-45.89020966546484,,
arm_gpt-51_20to10_202506_run2.json,202506,2,A4_reports_scrambled,-48.20280147959669,,
arm_gpt-51_20to10_202506_run2.json,202506,2,A5_single_matched,-43.577613436542116,,
arm_gpt-51_20to10_202506_run2.json,202506,2,A6_hold_all,-42.42132194426706,,
