file,parsed,has_meta,has_roi,has_recs,model,temp,window,period,cfg,roi,n_holdings,model_raw,err
perm_0234_gpt-51_T0.3_12mo_202501_20260616_132834.json,True,True,True,True,GPT-5.1,0.3,202501,12,30→5,25.992098781167662,5.0,gpt-5.1,
perm_0235_gpt-5_T0.3_12mo_202412_20260222_194454.json,True,False,False,False,GPT-5?,0.3,202412,12,,,,gpt-5,
perm_0235_gpt-5_T0.3_12mo_202412_20260222_201026.json,True,False,False,False,GPT-5?,0.3,202412,12,,,,gpt-5,
perm_0236_gpt-5_T0.3_12mo_202412_20260222_194455.json,True,False,False,False,GPT-5?,0.3,202412,12,,,,gpt-5,
perm_0236_gpt-5_T0.3_12mo_202412_20260222_201025.json,True,False,False,False,GPT-5?,0.3,202412,12,,,,gpt-5,
perm_0237_gpt-5_T0.3_12mo_202412_20260222_194455.json,True,False,False,False,GPT-5?,0.3,202412,12,,,,gpt-5,
perm_0237_gpt-5_T0.3_12mo_202412_20260222_201027.json,True,False,False,False,GPT-5?,0.3,202412,12,,,,gpt-5,
perm_0238_gpt-51_T0.3_12mo_202412_20260222_194535.json,True,True,True,True,GPT-5.1,0.3,202412,12,20→5,45.58114517698488,5.0,gpt-5.1,
perm_0238_gpt-51_T0.3_12mo_202412_20260223_002413.json,True,True,True,True,GPT-5.1,0.3,202412,12,20→5,45.95774519702416,5.0,gpt-5.1,
perm_0238_gpt-51_T0.3_12mo_202412_20260223_002422.json,True,True,True,True,GPT-5.1,0.3,202412,12,20→5,47.86554228189434,5.0,gpt-5.1,
perm_0239_gpt-51_T0.3_12mo_202412_20260222_194541.json,True,True,True,True,GPT-5.1,0.3,202412,12,10→5,49.57630318405894,5.0,gpt-5.1,
perm_0239_gpt-51_T0.3_12mo_202412_20260223_002424.json,True,True,True,True,GPT-5.1,0.3,202412,12,10→5,49.16046998815142,5.0,gpt-5.1,
perm_0240_gpt-51_T0.3_12mo_202412_20260222_194544.json,True,True,True,True,GPT-5.1,0.3,202412,12,5→3,33.10825751296856,3.0,gpt-5.1,
perm_0240_gpt-51_T0.3_12mo_202412_20260223_002421.json,True,True,True,True,GPT-5.1,0.3,202412,12,5→3,39.30279581312489,3.0,gpt-5.1,
perm_0240_gpt-51_T0.3_12mo_202412_20260223_002426.json,True,True,True,True,GPT-5.1,0.3,202412,12,5→3,43.56464403612159,3.0,gpt-5.1,
perm_0240_gpt-51_T0.3_12mo_202501_20260618_043409.json,True,True,True,True,GPT-5.1,0.3,202501,12,unfiltered,34.79086157749252,15.0,gpt-5.1,
perm_0241_gpt-4o_T0.3_12mo_202501_20260222_194543.json,True,True,True,True,GPT-4o,0.3,202501,12,20→5,45.75232756374024,5.0,gpt-4o,
perm_0241_gpt-4o_T0.3_12mo_202501_20260222_235254.json,True,False,False,False,GPT-4o,0.3,202501,12,,,,gpt-4o,
perm_0241_gpt-4o_T0.3_12mo_202501_20260222_235256.json,True,False,False,False,GPT-4o,0.3,202501,12,,,,gpt-4o,
perm_0241_gpt-4o_T0.3_12mo_202501_20260222_235518.json,True,False,False,False,GPT-4o,0.3,202501,12,,,,gpt-4o,
perm_0241_gpt-4o_T0.3_12mo_202501_20260222_235522.json,True,False,False,False,GPT-4o,0.3,202501,12,,,,gpt-4o,
perm_0241_gpt-4o_T0.3_12mo_202501_20260222_235643.json,True,False,False,False,GPT-4o,0.3,202501,12,,,,gpt-4o,
perm_0241_gpt-4o_T0.3_12mo_202501_20260222_235645.json,True,False,False,False,GPT-4o,0.3,202501,12,,,,gpt-4o,
perm_0241_gpt-4o_T0.3_12mo_202501_20260222_235856.json,True,True,True,True,GPT-4o,0.3,202501,12,20→5,48.52080570721566,5.0,gpt-4o,
perm_0241_gpt-4o_T0.3_12mo_202501_20260222_235941.json,True,True,True,True,GPT-4o,0.3,202501,12,20→5,47.3610306026398,5.0,gpt-4o,
perm_0241_gpt-4o_T0.3_12mo_202502_20260616_132823.json,True,True,True,True,GPT-4o,0.3,202502,12,Ranked,40.31039794939168,7.0,gpt-4o,
perm_0241_gpt-4o_T0.3_12mo_202502_20260616_132835.json,True,True,True,True,GPT-4o,0.3,202502,12,Ranked,32.10994948688871,5.0,gpt-4o,
perm_0241_gpt-4o_T0.3_12mo_202502_20260616_133055.json,True,False,False,False,GPT-4o,0.3,202502,12,,,,gpt-4o,
