model,config,window,arm,roi,total_tokens,n_holdings
gpt-5.1,20->10,2025-01,A3_sequential_nocut,40.7278589310357,24610,10
gpt-5.1,20->10,2025-01,A4_reports_scrambled,27.75073906691312,24811,10
gpt-5.1,20->10,2025-01,A5_single_matched,38.542682305089535,34926,10
gpt-5.1,20->10,2025-01,A6_hold_all,34.39173323292239,25244,20
gpt-5.1,20->10,2025-02,A1_single_pool,56.82268127628562,38302,10
gpt-5.1,20->10,2025-02,A2_sequential_cut,48.13210286275931,25134,10
gpt-5.1,20->10,2025-02,A3_sequential_nocut,54.7152641934364,24569,10
gpt-5.1,20->10,2025-02,A4_reports_scrambled,22.92198299429487,24630,10
gpt-5.1,20->10,2025-02,A5_single_matched,45.129650998767154,34787,10
gpt-5.1,20->10,2025-02,A6_hold_all,42.88929139126203,25402,20
gpt-5.1,20->10,2025-03,A1_single_pool,48.919657150943,37411,10
gpt-5.1,20->10,2025-03,A2_sequential_cut,54.89255665752572,25090,10
gpt-5.1,20->10,2025-03,A3_sequential_nocut,64.15865650773344,24775,10
gpt-5.1,20->10,2025-03,A4_reports_scrambled,53.64596153267599,24677,10
gpt-5.1,20->10,2025-03,A5_single_matched,52.39349384219935,33862,10
gpt-5.1,20->10,2025-03,A6_hold_all,40.09045870380332,25820,20
gpt-5.1,20->10,2024-10,1,A1_single_pool,44.51834582282947,37077,10
gpt-5.1,20->10,2024-10,1,A2_sequential_cut,36.39062719489088,23534,10
gpt-5.1,20->10,2024-10,1,A3_sequential_nocut,36.817209191311555,23287,10
gpt-5.1,20->10,2024-10,1,A4_reports_scrambled,29.721091275669657,23370,10
gpt-5.1,20->10,2024-10,1,A5_single_matched,35.108461481765445,33548,10
gpt-5.1,20->10,2024-10,1,A6_hold_all,30.923392281908928,23984,21
gpt-5.1,20->10,2024-11,3,A1_single_pool,48.69442487719436,39989,10
gpt-5.1,20->10,2024-11,3,A2_sequential_cut,47.69929779176813,24868,10
gpt-5.1,20->10,2024-11,3,A3_sequential_nocut,48.762138211122,24792,10
gpt-5.1,20->10,2024-11,3,A4_reports_scrambled,42.90020064473001,24519,10
gpt-5.1,20->10,2024-11,3,A5_single_matched,50.717495181978336,34930,10
gpt-5.1,20->10,2024-11,3,A6_hold_all,45.29683905813647,25333,20
gpt-5.1,20->10,2024-11,2,A1_single_pool,45.83207509738156,37379,10
gpt-5.1,20->10,2024-11,2,A2_sequential_cut,51.45543831968856,24815,10
gpt-5.1,20->10,2024-11,2,A3_sequential_nocut,46.518092811913135,25171,10
